track_name,artists,macro_genre,popularity
Ghost - Acoustic,Ben Woodward,folk-acustico,55
Hold On - Remix,Chord Overstreet;Deepend,folk-acustico,56
Trampoline - Acoustic,Highland Peak,folk-acustico,46
So Far Away - Acoustic,Adam Christopher,folk-acustico,52
Somebody Else - Acoustic,Callum J Wright,folk-acustico,50
You’re Beautiful - Acoustic,John Adams,folk-acustico,55
When the Party's over (Acoustic Piano),Ben Woodward,folk-acustico,51
Believer (Remix),Ben Woodward,folk-acustico,42
Collide - Acoustic Version,Howie Day,folk-acustico,67
"Tonight, Not Again - Live",Jason Mraz,folk-acustico,19
Whole Again - Acoustic Version,Tobey Rosen,folk-acustico,52
Rockabye - Acoustic Version,The Mayries,folk-acustico,57
Since U Been Gone - Acoustic Version,Thomas Daniel,folk-acustico,50
Girls Like You - Acoustic Version,Jonah Baker,folk-acustico,44
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,folk-acustico,57
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,folk-acustico,54
The Spark - Bonus Track,Joshua Hyslop,folk-acustico,51
If I Ain't Got You - Acoustic,John Adams,folk-acustico,55
Believe - Acoustic,John Adams,folk-acustico,57
Iris - Acoustic,Adam Christopher,folk-acustico,54
Baby (Acoustic Version),Jonah Baker,folk-acustico,42
The Winner Takes It All - Acoustic,Jae Hall,folk-acustico,57
Can't Help Falling In Love - Piano Version,Kina Grannis,folk-acustico,54
Someone You Loved - Acoustic,Plamina,folk-acustico,55
Isn't She Lovely - Acoustic,Callum J Wright,folk-acustico,54
Fix You - Acoustic,John Adams,folk-acustico,49
I'm Yours - Acoustic,Lusaint,folk-acustico,55
Shallow - Acoustic,Tyler Ward;Madysyn,folk-acustico,52
Watermelon Sugar - Acoustic,Jonah Baker,folk-acustico,56
Say You Won't Let Go - Acoustic,Matt Johnson;Jaclyn Davies,folk-acustico,48
Call You Mine (Acoustic Piano),Ben Woodward,folk-acustico,40
Hold On - Acoustic,Chord Overstreet,folk-acustico,48
Mirrors - Acoustic,Jonah Baker,folk-acustico,52
Stay - Acoustic,Jonah Baker,folk-acustico,50
2002 - Acoustic,Amber Leigh Irish,folk-acustico,57
Heat Waves - Acoustic,Daniel Robinson,folk-acustico,56
If the World Was Ending - Acoustic,Jonah Baker;Celine,folk-acustico,35
Dusk Till Dawn - Acoustic,Blame Jones,folk-acustico,46
Heaven - Acoustic,Grace George,folk-acustico,54
Symphony - Acoustic,Thomas Daniel,folk-acustico,49
Save Your Tears - Acoustic,Amber Leigh Irish,folk-acustico,49
You're Still The One - Acoustic,Bailey Rushlow,folk-acustico,53
Bohemian Rhapsody - Acoustic,John Adams,folk-acustico,52
As It Was - Acoustic,Amber Leigh Irish,folk-acustico,51
Passenger Seat (Acoustic),Stephen Speaks,folk-acustico,63
Graveyard - Acoustic,Highland Peak,folk-acustico,45
2U - Acoustic Version,Clementine Duo,folk-acustico,56
A Thousand Years - Acoustic,Jonah Baker,folk-acustico,44
Golden Hour - Acoustic Piano,Ben Woodward,folk-acustico,28
Good 4 U (Acoustic),Jonah Baker,folk-acustico,53
Here With Me - Acoustic,Daniel Robinson,folk-acustico,55
Running Up That Hill (A Deal With God) - Acoustic,Jonah Baker,folk-acustico,51
Umbrella - Acoustic Version,The Mayries,folk-acustico,48
Boulevard of Broken Dreams (Acoustic),Adam Christopher,folk-acustico,41
Everytime We Touch (Acoustic),Shannon & Keast,folk-acustico,45
Unsteady - Acoustic Covers Versions of Popular Songs,SANNA NORTH,folk-acustico,29
Peaches - Acoustic,Adam Christopher,folk-acustico,55
I Don't Wanna Live Forever (Fifty Shades Darker) - Acoustic Version,Sara Farell;Simon Samaeng,folk-acustico,48
Ghost - Acoustic,Jonah Baker,folk-acustico,42
"10,000 Hours - Acoustic",Adam Christopher;Dan Berk,folk-acustico,53
Yellow - Acoustic,Amber Leigh Irish,folk-acustico,50
Easy On Me - Acoustic,Jonah Baker,folk-acustico,40
Chasing Cars - Acoustic,Bailey Rushlow,folk-acustico,51
Fortune - Acoustic,William Fitzsimmons,folk-acustico,55
能古島の片想い - Remastered 2018,Yosui Inoue,folk-acustico,29
I Want to Know What Love Is - Acoustic,Hannah's Yard,folk-acustico,52
Just The Two Of Us - Acoustic,Vendredi;Son&Dad,folk-acustico,28
Crazy - (Acoustic Mix),Vendredi;Son&Dad,folk-acustico,28
Neighbor (Piano Version),JJ Heller,folk-acustico,25
THATS WHAT I WANT (Acoustic),Adam Christopher,folk-acustico,35
Dynamite - Acoustic,Hannah's Yard,folk-acustico,49
More Than You Know - Acoustic Covers of Popular Songs,Filip Nordin,folk-acustico,51
Don't Wanna Know - Acoustic Version,The Mayries,folk-acustico,54
Bitter Old Man - Live,Ramshackle Glory,folk-acustico,28
I'd Rather Be With You [Radio Edit],Joshua Radin,folk-acustico,28
Leave The Door Open - Acoustic,Blame Jones,folk-acustico,51
Use Somebody - Acoustic,Lusaint,folk-acustico,54
What About Us - Acoustic,Thomas Daniel,folk-acustico,60
Memories (Acoustic),Ben Woodward,folk-acustico,46
Lost Cause - Acoustic Covers Versions of Popular Songs,Covers Culture;Acoustic Covers Culture;Lounge Covers Culture Of Popular Songs,folk-acustico,26
No More - Live,Eddie Vedder,folk-acustico,45
Roll Me Through the Gates of Hell - Acoustic Version,Mischief Brew,folk-acustico,28
Sweet but Psycho - Acoustic,Parker Jenkins,folk-acustico,43
I'm the One - Acoustic,Sunset & Highland,folk-acustico,54
As It Was - Acoustic Instrumental,Guus Dielissen,folk-acustico,41
Sweet Child O' Mine - Acoustic,Jae Hall,folk-acustico,51
Have I Told You Lately That I Love You - Acoustic,John Adams,folk-acustico,52
The Greatest Showman - Rewrite The Stars (Acoustic),The Cameron Collective,folk-acustico,33
A Million Dreams - Acoustic,John Adams,folk-acustico,48
You're Not Sorry - Acoustic Covers Versions of Popular Songs,Covers Culture;Acoustic Covers Culture;Lounge Covers Culture Of Popular Songs,folk-acustico,26
"Don't Think Twice, It's All Right - Acoustic",Jay Filson,folk-acustico,26
Still Falling For You - Acoustic,Sara Farell;Simon Samaeng,folk-acustico,44
Jocelyn Flores - Acoustic Guitar,Celestial Conscience,folk-acustico,41
Use Somebody - Acoustic Version,Isabella Celander,folk-acustico,58
The Nights - Acoustic,Caj Morgan,folk-acustico,46
SOS - Acoustic Covers Versions,Covers Culture,folk-acustico,26
Of Ballots and Barricades - Live,Ramshackle Glory,folk-acustico,27
Sombody else - Acoustic,Sara Farell,folk-acustico,42
Stuck with U - Acoustic,Jonah Baker,folk-acustico,51
Havana - Acoustic,Matt Johnson,folk-acustico,53
Issues - Acoustic,Sara Farell,folk-acustico,47
Moth To A Flame - Acoustic Instrumental,Guus Dielissen,folk-acustico,43
(I Just) Died In Your Arms - Acoustic,Carly Lyman;Jason Lux,folk-acustico,47
Seven Nation Army - Acoustic Covers Versions of Popular Songs,Vendredi;Chrissy Dave,folk-acustico,25
Mood - Acoustic,Adam Christopher,folk-acustico,50
She's The Song - Acoustic,Nathan Angelo,folk-acustico,48
Memories (Instrumental Guitar),Guus Dielissen,folk-acustico,37
I Want It That Way - Acoustic Covers of Popular Songs,Son&Dad;Filip Nordin,folk-acustico,51
青空、ひとりきり - Remastered 2018,Yosui Inoue,folk-acustico,26
神無月にかこまれて - Remastered 2018,Yosui Inoue,folk-acustico,26
Milonga de Ojos Dorados (Alfredo Zitarrosa) - Live on Pardelion Music,Jorge Drexler;Sebastián Prada,world,38
Vida Loka I - Live,Criolo;Emicida;Mano Brown,world,44
Só Mais Uma Noite - Live,Criolo;Emicida;Evandro Fióti,world,37
A Cada Vento - Live,Criolo;Emicida,world,41
Zica Vai Lá - Live,Criolo;Emicida,world,35
Subirusdoistiozin - Live,Criolo;Emicida,world,37
Viva (Melô Dos Vileiros) - Live,Criolo;Emicida,world,32
Mariô - Live,Criolo,world,33
Demorô - Live,Criolo;Emicida,world,33
Triunfo - Live,Criolo;Emicida,world,34
Grajauex - Live,Criolo;Emicida,world,33
District Six - Live,Hugh Masekela,world,0
Não Existe Amor Em SP - Live,Criolo;Emicida,world,35
Bogotá - Live,Criolo;Emicida,world,33
Dikalo - Remix 97,Manu Dibango,world,0
District Six - Live,Hugh Masekela,world,0
4 da Manhã – Deluxe Edition,Criolo,world,30
District Six - Live,Hugh Masekela,world,0
Lion Man - Live,Criolo;Emicida,world,30
District Six - Live,Hugh Masekela,world,0
District Six - Live,Hugh Masekela,world,0
Acosadora - Radio Edit,La Misa Negra,world,28
Língua Felina – Deluxe Edition,Criolo,world,26
Espérame (Extended Mix),Los Amigos Invisibles,world,31
Saci (Remix),BaianaSystem;Tropkillaz,world,42
Like a Child - Remix,Sarah Téibo;Fred Hammond,world,23
Ivory and Blue - Reprise,Menahan Street Band,world,22
Não Existe Amor em SP (Instrumental),Criolo,world,20
Avi-Vo - Remastered,Lafayette Afro Rock Band,world,21
Posed To Be - Instrumental,Breakestra,world,21
Subirusdoistiozin (Instrumental),Criolo,world,19
Conga - Remastered,Lafayette Afro Rock Band,world,19
Bogotá (Instrumental),Criolo,world,19
Cash and Carry - Remix,BANTU;Megaloh;Ghanaian Stallion,world,19
Nowa - Radio Edit,The Bongo Hop;Maikcel,world,19
Ja Fun Mi - Instrumental,King Sunny Ade,world,19
Kaiso Noir (Bonus Track),Bacao Rhythm & Steel Band,world,18
Mariô (Instrumental),Criolo,world,16
Black Woman Experience - Mixed,Geraldo Pino;The Heartbeats,world,17
I Love Music - Remastered,Lafayette Afro Rock Band,world,17
Not Another Drop (Reprise),Ikebe Shakedown,world,16
Freguês da Meia Noite (Instrumental),Criolo,world,15
